sport,discipline,sport_and_discipline
AIKIDO,,AIKIDO
AIR SPORTS,,AIR SPORTS
AIR SPORTS,AERO MODEL FLYING,AIR SPORTS AERO MODEL FLYING
AIR SPORTS,AEROBATIC FLYING,AIR SPORTS AEROBATIC FLYING
AIR SPORTS,BALLOONING,AIR SPORTS BALLOONING
AIR SPORTS,FLYING,AIR SPORTS FLYING
AIR SPORTS,GLIDING,AIR SPORTS GLIDING
AIR SPORTS,HANG/,AIR SPORTS HANG/
AIR SPORTS,MICROLIGHT,AIR SPORTS MICROLIGHT
AIR SPORTS,PARACHUTING,AIR SPORTS PARACHUTING
AIR SPORTS,PARAGLIDING,AIR SPORTS PARAGLIDING
AIR SPORTS,POPULAR FLYING,AIR SPORTS POPULAR FLYING
AMERICAN FOOTBALL,,AMERICAN FOOTBALL
ANGLING,,ANGLING
ANGLING,COARSE,ANGLING COARSE
ANGLING,FEDERATION,ANGLING FEDERATION
ANGLING,GAME,ANGLING GAME
ANGLING,SEA,ANGLING SEA
ARCHERY,,ARCHERY
ARCHERY,FIELD,ARCHERY FIELD
ARCHERY,TARGET,ARCHERY TARGET
ARM WRESTLING,,ARM WRESTLING
ATHLETICS,,ATHLETICS
ATHLETICS,CROSS COUNTRY,ATHLETICS CROSS COUNTRY
ATHLETICS,MOUNTAIN/FELL,ATHLETICS MOUNTAIN/FELL
ATHLETICS,ROAD,ATHLETICS ROAD
ATHLETICS,TRACK AND FIELD,ATHLETICS TRACK AND FIELD
AUSTRALIAN RULES FOOTBALL,,AUSTRALIAN RULES FOOTBALL
BADMINTON,,BADMINTON
BASEBALL,,BASEBALL
BASKETBALL,,BASKETBALL
BATON TWIRLING,,BATON TWIRLING
BIATHLON,,BIATHLON
BOBSLEIGH,,BOBSLEIGH
BOCCIA,,BOCCIA
BOWLS,,BOWLS
BOWLS,CROWN,BOWLS CROWN
BOWLS,FEDERATION,BOWLS FEDERATION
BOWLS,SHORT MAT,BOWLS SHORT MAT
BOXING,,BOXING
BRAZILIAN JIU JITSU,,BRAZILIAN JIU JITSU
CAMOGIE,,CAMOGIE
CANOEING,,CANOEING
CANOEING,FREESTYLE,CANOEING FREESTYLE
CANOEING,MARATHON,CANOEING MARATHON
CANOEING,OPEN CANOEING,CANOEING OPEN CANOEING
CANOEING,POLO,CANOEING POLO
CANOEING,SEA KAYAKING,CANOEING SEA KAYAKING
CANOEING,SLALOM,CANOEING SLALOM
CANOEING,SPRINT,CANOEING SPRINT
CANOEING,SUP,CANOEING SUP
CANOEING,SURF KAYAK,CANOEING SURF KAYAK
CANOEING,WILD WATER RACING,CANOEING WILD WATER RACING
CAVING,,CAVING
CAVING,CAVE DIVING,CAVING CAVE DIVING
CAVING,MINE EXPLORATION,CAVING MINE EXPLORATION
CAVING,POT HOLING,CAVING POT HOLING
CHINESE MARTIAL ARTS,,CHINESE MARTIAL ARTS
CHINESE MARTIAL ARTS,BAGUA,CHINESE MARTIAL ARTS BAGUA
CHINESE MARTIAL ARTS,CHINESE BOXING,CHINESE MARTIAL ARTS CHINESE BOXING
CHINESE MARTIAL ARTS,EAGLE CLAW,CHINESE MARTIAL ARTS EAGLE CLAW
CHINESE MARTIAL ARTS,FREESTYLE,CHINESE MARTIAL ARTS FREESTYLE
CHINESE MARTIAL ARTS,HSING YI,CHINESE MARTIAL ARTS HSING YI
CHINESE MARTIAL ARTS,KUNG FU,CHINESE MARTIAL ARTS KUNG FU
CHINESE MARTIAL ARTS,LAU GAR,CHINESE MARTIAL ARTS LAU GAR
CHINESE MARTIAL ARTS,LION DANCE,CHINESE MARTIAL ARTS LION DANCE
CHINESE MARTIAL ARTS,MODERN WUSHU,CHINESE MARTIAL ARTS MODERN WUSHU
CHINESE MARTIAL ARTS,PRAYING MANTIS,CHINESE MARTIAL ARTS PRAYING MANTIS
CHINESE MARTIAL ARTS,QIGONG,CHINESE MARTIAL ARTS QIGONG
CHINESE MARTIAL ARTS,QINGDA,CHINESE MARTIAL ARTS QINGDA
CHINESE MARTIAL ARTS,SANSHOU,CHINESE MARTIAL ARTS SANSHOU
CHINESE MARTIAL ARTS,SHAOLIN (NORTHERN/SOUTHERN),CHINESE MARTIAL ARTS SHAOLIN (NORTHERN/SOUTHERN)
CHINESE MARTIAL ARTS,TAI CHI,CHINESE MARTIAL ARTS TAI CHI
CHINESE MARTIAL ARTS,TAIJIQUAN,CHINESE MARTIAL ARTS TAIJIQUAN
CHINESE MARTIAL ARTS,TIGER CRANE,CHINESE MARTIAL ARTS TIGER CRANE
CHINESE MARTIAL ARTS,TRADITIONAL WUSHU,CHINESE MARTIAL ARTS TRADITIONAL WUSHU
CHINESE MARTIAL ARTS,WHITE CRANE,CHINESE MARTIAL ARTS WHITE CRANE
CHINESE MARTIAL ARTS,WING CHUN,CHINESE MARTIAL ARTS WING CHUN
CRICKET,,CRICKET
CROQUET,,CROQUET
CURLING,,CURLING
CYCLING,,CYCLING
CYCLING,BMX,CYCLING BMX
CYCLING,CYCLE SPEEDWAY,CYCLING CYCLE SPEEDWAY
CYCLING,CYCLO CROSS,CYCLING CYCLO CROSS
CYCLING,DOWNHILL,CYCLING DOWNHILL
CYCLING,MOUNTAIN BIKING,CYCLING MOUNTAIN BIKING
CYCLING,ROAD,CYCLING ROAD
CYCLING,TRACK,CYCLING TRACK
DANCE,,DANCE
DANCE,BALLROOM,DANCE BALLROOM
DANCE,FOLK DANCE,DANCE FOLK DANCE
DANCE,HIGHLAND DANCE,DANCE HIGHLAND DANCE
DANCE,LATIN,DANCE LATIN
DANCE,SCOTTISH COUNTRY,DANCE SCOTTISH COUNTRY
DARTS,,DARTS
DISABILITY SPORT,,DISABILITY SPORT
DODGEBALL,,DODGEBALL
DRAGON BOAT RACING,,DRAGON BOAT RACING
EQUESTRIAN,,EQUESTRIAN
EQUESTRIAN,CARRIAGE DRIVING,EQUESTRIAN CARRIAGE DRIVING
EQUESTRIAN,DRESSAGE,EQUESTRIAN DRESSAGE
EQUESTRIAN,ENDURANCE,EQUESTRIAN ENDURANCE
EQUESTRIAN,EVENTING,EQUESTRIAN EVENTING
EQUESTRIAN,HARNESS RACING,EQUESTRIAN HARNESS RACING
EQUESTRIAN,HORSE AND PONY RIDING,EQUESTRIAN HORSE AND PONY RIDING
EQUESTRIAN,HORSE RACING,EQUESTRIAN HORSE RACING
EQUESTRIAN,HORSEBALL,EQUESTRIAN HORSEBALL
EQUESTRIAN,MOUNTED GAMES,EQUESTRIAN MOUNTED GAMES
EQUESTRIAN,POLOCROSSE,EQUESTRIAN POLOCROSSE
EQUESTRIAN,REIGNING,EQUESTRIAN REIGNING
EQUESTRIAN,SHOW JUMPING,EQUESTRIAN SHOW JUMPING
EQUESTRIAN,VAULTING,EQUESTRIAN VAULTING
EXERCISE AND FITNESS,,EXERCISE AND FITNESS
EXERCISE AND FITNESS,KEEP FIT,EXERCISE AND FITNESS KEEP FIT
EXERCISE AND FITNESS,LABAN MOVEMENT,EXERCISE AND FITNESS LABAN MOVEMENT
EXERCISE AND FITNESS,MARGARET MORRIS MOVEMENT,EXERCISE AND FITNESS MARGARET MORRIS MOVEMENT
EXERCISE AND FITNESS,MEDAU,EXERCISE AND FITNESS MEDAU
FENCING,,FENCING
FIVES,,FIVES
FIVES,ETON,FIVES ETON
FIVES,RUGBY,FIVES RUGBY
FLOORBALL,,FLOORBALL
FOOTBALL,,FOOTBALL
FOOTBALL,FUTSAL,FOOTBALL FUTSAL
GAELIC GAMES,,GAELIC GAMES
GAELIC GAMES,(NON-OLYMPIC),GAELIC GAMES (NON-OLYMPIC)
GAELIC GAMES,FOOTBALL,GAELIC GAMES FOOTBALL
GAELIC GAMES,HANDBALL,GAELIC GAMES HANDBALL
GAELIC GAMES,HURLING,GAELIC GAMES HURLING
GOALBALL,,GOALBALL
GOLF,,GOLF
GYMNASTICS,,GYMNASTICS
GYMNASTICS,ACROBATICS,GYMNASTICS ACROBATICS
GYMNASTICS,AEROBIC,GYMNASTICS AEROBIC
GYMNASTICS,ARTISTIC,GYMNASTICS ARTISTIC
GYMNASTICS,RHYTHMIC,GYMNASTICS RHYTHMIC
GYMNASTICS,TEAM GYM,GYMNASTICS TEAM GYM
GYMNASTICS,TRAMPOLINE & DMT,GYMNASTICS TRAMPOLINE & DMT
GYMNASTICS,TUMBLING,GYMNASTICS TUMBLING
HANDBALL,,HANDBALL
HANDBALL,OLYMPIC,HANDBALL OLYMPIC
HOCKEY,,HOCKEY
HOVERCRAFT RACING,,HOVERCRAFT RACING
ICE HOCKEY,,ICE HOCKEY
ICE SKATING,,ICE SKATING
ICE SKATING,FIGURE,ICE SKATING FIGURE
ICE SKATING,SHORT TRACK,ICE SKATING SHORT TRACK
ICE SKATING,SYNCHRONISED,ICE SKATING SYNCHRONISED
JU-JITSU,,JU-JITSU
JUDO,,JUDO
KABBADI,,KABBADI
KARATE,,KARATE
KENDO,,KENDO
KENDO,IAIDO,KENDO IAIDO
KENDO,JODO,KENDO JODO
KICK BOXING,,KICK BOXING
KITE SURFING,,KITE SURFING
KORFBALL,,KORFBALL
LACROSSE,,LACROSSE
LIFE SAVING,,LIFE SAVING
LUGE,,LUGE
MODERN PENTATHLON,,MODERN PENTATHLON
MOTOR CYCLING,,MOTOR CYCLING
MOTOR CYCLING,DRAG / SPRINT,MOTOR CYCLING DRAG / SPRINT
MOTOR CYCLING,ENDURO,MOTOR CYCLING ENDURO
MOTOR CYCLING,HILL CLIMBING,MOTOR CYCLING HILL CLIMBING
MOTOR CYCLING,MOTOCROSS,MOTOR CYCLING MOTOCROSS
MOTOR CYCLING,RALLYING,MOTOR CYCLING RALLYING
MOTOR CYCLING,ROAD RACING,MOTOR CYCLING ROAD RACING
MOTOR CYCLING,SIDECAR RACING,MOTOR CYCLING SIDECAR RACING
MOTOR CYCLING,SPEEDWAY,MOTOR CYCLING SPEEDWAY
MOTOR CYCLING,SUPER MOTO,MOTOR CYCLING SUPER MOTO
MOTOR CYCLING,TRACK RACING,MOTOR CYCLING TRACK RACING
MOTOR CYCLING,TRIALS,MOTOR CYCLING TRIALS
MOTOR SPORTS,,MOTOR SPORTS
MOTOR SPORTS,AUTOCROSS,MOTOR SPORTS AUTOCROSS
MOTOR SPORTS,AUTOSOLO,MOTOR SPORTS AUTOSOLO
MOTOR SPORTS,AUTOTESTS,MOTOR SPORTS AUTOTESTS
MOTOR SPORTS,CIRCUIT RACING,MOTOR SPORTS CIRCUIT RACING
